Reactions,Subsystems
PTA2,Alternate Carbon Metabolism
R15BPK,Alternate Carbon Metabolism
R1PK,Alternate Carbon Metabolism
R5PP,Alternate Carbon Metabolism
R5PPpp,Alternate Carbon Metabolism
RBK,Alternate Carbon Metabolism
RBK_L1,Alternate Carbon Metabolism
RBP4E,Alternate Carbon Metabolism
REPHACCOAI,Alternate Carbon Metabolism
RMI,Alternate Carbon Metabolism
RMK,Alternate Carbon Metabolism
RMPA,Alternate Carbon Metabolism
SBTPD,Alternate Carbon Metabolism
TAGURr,Alternate Carbon Metabolism
TARTD,Alternate Carbon Metabolism
TAUDO,Alternate Carbon Metabolism
TGBPA,Alternate Carbon Metabolism
TRE6PH,Alternate Carbon Metabolism
TRE6PP,Alternate Carbon Metabolism
TRE6PS,Alternate Carbon Metabolism
TREH,Alternate Carbon Metabolism
TREHpp,Alternate Carbon Metabolism
TRSARr,Alternate Carbon Metabolism
UACGALPpp,Alternate Carbon Metabolism
UACGAMPpp,Alternate Carbon Metabolism
UDPG4E,Alternate Carbon Metabolism
UDPGALPpp,Alternate Carbon Metabolism
UDPGPpp,Alternate Carbon Metabolism
UGLCURPpp,Alternate Carbon Metabolism
UGLT,Alternate Carbon Metabolism
URDGLYCD,Alternate Carbon Metabolism
URIH,Alternate Carbon Metabolism
X5PL3E,Alternate Carbon Metabolism
XYLI1,Alternate Carbon Metabolism
XYLI2,Alternate Carbon Metabolism
XYLK,Alternate Carbon Metabolism
XYLK2,Alternate Carbon Metabolism
ICL,Anaplerotic Reactions
MALS,Anaplerotic Reactions
ME1,Anaplerotic Reactions
ME2,Anaplerotic Reactions
PPA,Anaplerotic Reactions
PPA2,Anaplerotic Reactions
PPC,Anaplerotic Reactions
PPCK,Anaplerotic Reactions
ABTA,Arginine and Proline Metabolism
ABUTD,Arginine and Proline Metabolism
ACGK,Arginine and Proline Metabolism
ACGS,Arginine and Proline Metabolism
ACODA,Arginine and Proline Metabolism
ACOTA,Arginine and Proline Metabolism
ADMDC,Arginine and Proline Metabolism
AGMT,Arginine and Proline Metabolism
AGPR,Arginine and Proline Metabolism
AMPTASEPG,Arginine and Proline Metabolism
APCS,Arginine and Proline Metabolism
ARGDC,Arginine and Proline Metabolism
ARGDCpp,Arginine and Proline Metabolism
ARGSL,Arginine and Proline Metabolism
ARGSS,Arginine and Proline Metabolism
AST,Arginine and Proline Metabolism
CBPS,Arginine and Proline Metabolism
G5SADs,Arginine and Proline Metabolism
G5SD,Arginine and Proline Metabolism
GHBDHx,Arginine and Proline Metabolism
GLU5K,Arginine and Proline Metabolism
GSPMDA,Arginine and Proline Metabolism
GSPMDS,Arginine and Proline Metabolism
MTAN,Arginine and Proline Metabolism
NACODA,Arginine and Proline Metabolism
OCBT,Arginine and Proline Metabolism
ORNDC,Arginine and Proline Metabolism
P5CD,Arginine and Proline Metabolism
P5CR,Arginine and Proline Metabolism
PROD2,Arginine and Proline Metabolism
PTRCTA,Arginine and Proline Metabolism
SADH,Arginine and Proline Metabolism
SGDS,Arginine and Proline Metabolism
SGSAD,Arginine and Proline Metabolism
SOTA,Arginine and Proline Metabolism
SPMDAT1,Arginine and Proline Metabolism
SPMDAT2,Arginine and Proline Metabolism
SPMS,Arginine and Proline Metabolism
SSALx,Arginine and Proline Metabolism
SSALy,Arginine and Proline Metabolism
3HAD100,Cell Envelope Biosynthesis
3HAD120,Cell Envelope Biosynthesis
3HAD121,Cell Envelope Biosynthesis
3HAD140,Cell Envelope Biosynthesis
3HAD141,Cell Envelope Biosynthesis
3HAD160,Cell Envelope Biosynthesis
3HAD161,Cell Envelope Biosynthesis
3HAD180,Cell Envelope Biosynthesis
3HAD181,Cell Envelope Biosynthesis
3HAD40,Cell Envelope Biosynthesis
3HAD60,Cell Envelope Biosynthesis
3HAD80,Cell Envelope Biosynthesis
3OAR100,Cell Envelope Biosynthesis
3OAR120,Cell Envelope Biosynthesis
3OAR121,Cell Envelope Biosynthesis
3OAR140,Cell Envelope Biosynthesis
3OAR141,Cell Envelope Biosynthesis
3OAR160,Cell Envelope Biosynthesis
3OAR161,Cell Envelope Biosynthesis
3OAR180,Cell Envelope Biosynthesis
3OAR181,Cell Envelope Biosynthesis
3OAR40,Cell Envelope Biosynthesis
3OAR60,Cell Envelope Biosynthesis
3OAR80,Cell Envelope Biosynthesis
3OAS100,Cell Envelope Biosynthesis
3OAS120,Cell Envelope Biosynthesis
3OAS121,Cell Envelope Biosynthesis
3OAS140,Cell Envelope Biosynthesis
3OAS141,Cell Envelope Biosynthesis
3OAS160,Cell Envelope Biosynthesis
3OAS161,Cell Envelope Biosynthesis
3OAS180,Cell Envelope Biosynthesis
3OAS181,Cell Envelope Biosynthesis
3OAS60,Cell Envelope Biosynthesis
3OAS80,Cell Envelope Biosynthesis
AACPS1,Cell Envelope Biosynthesis
AACPS2,Cell Envelope Biosynthesis
AACPS3,Cell Envelope Biosynthesis
AACPS4,Cell Envelope Biosynthesis
AACPS5,Cell Envelope Biosynthesis
AACPS6,Cell Envelope Biosynthesis
AACPS7,Cell Envelope Biosynthesis
AACPS8,Cell Envelope Biosynthesis
AACPS9,Cell Envelope Biosynthesis
AADDGT,Cell Envelope Biosynthesis
ACGAMT,Cell Envelope Biosynthesis
ACMAMUT,Cell Envelope Biosynthesis
ALAALAr,Cell Envelope Biosynthesis
EAR100x,Cell Envelope Biosynthesis
EAR100y,Cell Envelope Biosynthesis
EAR120x,Cell Envelope Biosynthesis
EAR120y,Cell Envelope Biosynthesis
EAR121x,Cell Envelope Biosynthesis
EAR121y,Cell Envelope Biosynthesis
EAR140x,Cell Envelope Biosynthesis
EAR140y,Cell Envelope Biosynthesis
EAR141x,Cell Envelope Biosynthesis
EAR141y,Cell Envelope Biosynthesis
EAR160x,Cell Envelope Biosynthesis
EAR160y,Cell Envelope Biosynthesis
EAR161x,Cell Envelope Biosynthesis
EAR161y,Cell Envelope Biosynthesis
EAR180x,Cell Envelope Biosynthesis
EAR180y,Cell Envelope Biosynthesis
EAR181x,Cell Envelope Biosynthesis
EAR181y,Cell Envelope Biosynthesis
EAR40x,Cell Envelope Biosynthesis
EAR40y,Cell Envelope Biosynthesis
EAR60x,Cell Envelope Biosynthesis
EAR60y,Cell Envelope Biosynthesis
EAR80x,Cell Envelope Biosynthesis
EAR80y,Cell Envelope Biosynthesis
ETHAAL,Cell Envelope Biosynthesis
FA100ACPHi,Cell Envelope Biosynthesis
FA120ACPHi,Cell Envelope Biosynthesis
FA140ACPHi,Cell Envelope Biosynthesis
FA141ACPHi,Cell Envelope Biosynthesis
FA160ACPHi,Cell Envelope Biosynthesis
FA161ACPHi,Cell Envelope Biosynthesis
FA80ACPHi,Cell Envelope Biosynthesis
FACOAE100,Cell Envelope Biosynthesis
FACOAE120,Cell Envelope Biosynthesis
FACOAE140,Cell Envelope Biosynthesis
FACOAE141,Cell Envelope Biosynthesis
FACOAE160,Cell Envelope Biosynthesis
FACOAE161,Cell Envelope Biosynthesis
FACOAE180,Cell Envelope Biosynthesis
FACOAE181,Cell Envelope Biosynthesis
FACOAE60,Cell Envelope Biosynthesis
FACOAE80,Cell Envelope Biosynthesis
FACOAL100t2pp,Cell Envelope Biosynthesis
FACOAL120t2pp,Cell Envelope Biosynthesis
FACOAL140t2pp,Cell Envelope Biosynthesis
FACOAL141t2pp,Cell Envelope Biosynthesis
FACOAL160t2pp,Cell Envelope Biosynthesis
FACOAL161t2pp,Cell Envelope Biosynthesis
FACOAL180t2pp,Cell Envelope Biosynthesis
FACOAL181t2pp,Cell Envelope Biosynthesis
FACOAL60t2pp,Cell Envelope Biosynthesis
FACOAL80t2pp,Cell Envelope Biosynthesis
G1PACT,Cell Envelope Biosynthesis
G1PTT,Cell Envelope Biosynthesis
GALUi,Cell Envelope Biosynthesis
GDMANE,Cell Envelope Biosynthesis
GDPMNH,Cell Envelope Biosynthesis
GDPMNP,Cell Envelope Biosynthesis
GF6PTA,Cell Envelope Biosynthesis
GLUR,Cell Envelope Biosynthesis
GMAND,Cell Envelope Biosynthesis
GOFUCR,Cell Envelope Biosynthesis
MAN1PT2,Cell Envelope Biosynthesis
MI1PP,Cell Envelope Biosynthesis
PAPPT3,Cell Envelope Biosynthesis
PGAMT,Cell Envelope Biosynthesis
T2DECAI,Cell Envelope Biosynthesis
TDPADGAT,Cell Envelope Biosynthesis
TDPAGTA,Cell Envelope Biosynthesis
TDPDRE,Cell Envelope Biosynthesis
TDPDRR,Cell Envelope Biosynthesis
TDPGDH,Cell Envelope Biosynthesis
UAAGDS,Cell Envelope Biosynthesis
UACMAMO,Cell Envelope Biosynthesis
UAG2E,Cell Envelope Biosynthesis
UAGCVT,Cell Envelope Biosynthesis
UAGDP,Cell Envelope Biosynthesis
UAGPT3,Cell Envelope Biosynthesis
UAMAGS,Cell Envelope Biosynthesis
UAMAS,Cell Envelope Biosynthesis
UAPGR,Cell Envelope Biosynthesis
UDCPDP,Cell Envelope Biosynthesis
UDCPDPpp,Cell Envelope Biosynthesis
UDPGALM,Cell Envelope Biosynthesis
UDPGD,Cell Envelope Biosynthesis
UGMDDS,Cell Envelope Biosynthesis
ACONTa,Citric Acid Cycle
ACONTb,Citric Acid Cycle
AKGDH,Citric Acid Cycle
CITL,Citric Acid Cycle
CS,Citric Acid Cycle
FRD2,Citric Acid Cycle
FRD3,Citric Acid Cycle
FUM,Citric Acid Cycle
ICDHyr,Citric Acid Cycle
MDH,Citric Acid Cycle
MDH2,Citric Acid Cycle
MDH3,Citric Acid Cycle
MOX,Citric Acid Cycle
SUCOAS,Citric Acid Cycle
2MAHMP,Cofactor and Prosthetic Group Biosynthesis
4HTHRS,Cofactor and Prosthetic Group Biosynthesis
5DOAN,Cofactor and Prosthetic Group Biosynthesis
ACBIPGT,Cofactor and Prosthetic Group Biosynthesis
ACPS1,Cofactor and Prosthetic Group Biosynthesis
ADCL,Cofactor and Prosthetic Group Biosynthesis
ADCS,Cofactor and Prosthetic Group Biosynthesis
ADOCBIK,Cofactor and Prosthetic Group Biosynthesis
ADOCBLS,Cofactor and Prosthetic Group Biosynthesis
ALATA_D2,Cofactor and Prosthetic Group Biosynthesis
ALATA_L2,Cofactor and Prosthetic Group Biosynthesis
AMAOTr,Cofactor and Prosthetic Group Biosynthesis
AMMQLT8,Cofactor and Prosthetic Group Biosynthesis
AMPMS2,Cofactor and Prosthetic Group Biosynthesis
AOXSr2,Cofactor and Prosthetic Group Biosynthesis
APRAUR,Cofactor and Prosthetic Group Biosynthesis
ASP1DC,Cofactor and Prosthetic Group Biosynthesis
ASPO3,Cofactor and Prosthetic Group Biosynthesis
ASPO4,Cofactor and Prosthetic Group Biosynthesis
ASPO5,Cofactor and Prosthetic Group Biosynthesis
ASPO6,Cofactor and Prosthetic Group Biosynthesis
BMOCOS,Cofactor and Prosthetic Group Biosynthesis
BMOGDS1,Cofactor and Prosthetic Group Biosynthesis
BMOGDS2,Cofactor and Prosthetic Group Biosynthesis
BSORx,Cofactor and Prosthetic Group Biosynthesis
BSORy,Cofactor and Prosthetic Group Biosynthesis
BTS5,Cofactor and Prosthetic Group Biosynthesis
BWCOGDS1,Cofactor and Prosthetic Group Biosynthesis
BWCOGDS2,Cofactor and Prosthetic Group Biosynthesis
BWCOS,Cofactor and Prosthetic Group Biosynthesis
CBIAT,Cofactor and Prosthetic Group Biosynthesis
CBLAT,Cofactor and Prosthetic Group Biosynthesis
CCGS,Cofactor and Prosthetic Group Biosynthesis
CDGR,Cofactor and Prosthetic Group Biosynthesis
CDGS,Cofactor and Prosthetic Group Biosynthesis
CDPMEK,Cofactor and Prosthetic Group Biosynthesis
CHRPL,Cofactor and Prosthetic Group Biosynthesis
CPH4S,Cofactor and Prosthetic Group Biosynthesis
CPMPS,Cofactor and Prosthetic Group Biosynthesis
CPPPGO,Cofactor and Prosthetic Group Biosynthesis
CPPPGO2,Cofactor and Prosthetic Group Biosynthesis
DB4PS,Cofactor and Prosthetic Group Biosynthesis
DBTS,Cofactor and Prosthetic Group Biosynthesis
DHBD,Cofactor and Prosthetic Group Biosynthesis
DHBS,Cofactor and Prosthetic Group Biosynthesis
DHBSH,Cofactor and Prosthetic Group Biosynthesis
DHFR,Cofactor and Prosthetic Group Biosynthesis
DHFS,Cofactor and Prosthetic Group Biosynthesis
DHMPTR,Cofactor and Prosthetic Group Biosynthesis
DHNAOT4,Cofactor and Prosthetic Group Biosynthesis
DHNCOAS,Cofactor and Prosthetic Group Biosynthesis
DHNCOAT,Cofactor and Prosthetic Group Biosynthesis
DHNPA2r,Cofactor and Prosthetic Group Biosynthesis
DHNPTE,Cofactor and Prosthetic Group Biosynthesis
DHPPDA2,Cofactor and Prosthetic Group Biosynthesis
DHPS2,Cofactor and Prosthetic Group Biosynthesis
DHPTPE,Cofactor and Prosthetic Group Biosynthesis
DMATT,Cofactor and Prosthetic Group Biosynthesis
DMPPS,Cofactor and Prosthetic Group Biosynthesis
DMQMT,Cofactor and Prosthetic Group Biosynthesis
DNMPPA,Cofactor and Prosthetic Group Biosynthesis
DNTPPA,Cofactor and Prosthetic Group Biosynthesis
DPCOAK,Cofactor and Prosthetic Group Biosynthesis
DPR,Cofactor and Prosthetic Group Biosynthesis
DXPRIi,Cofactor and Prosthetic Group Biosynthesis
DXPS,Cofactor and Prosthetic Group Biosynthesis
DXYLK,Cofactor and Prosthetic Group Biosynthesis
E4PD,Cofactor and Prosthetic Group Biosynthesis
EGMEACPR,Cofactor and Prosthetic Group Biosynthesis
ENTCS,Cofactor and Prosthetic Group Biosynthesis
EPMEACPR,Cofactor and Prosthetic Group Biosynthesis
FADRx,Cofactor and Prosthetic Group Biosynthesis
FADRx2,Cofactor and Prosthetic Group Biosynthesis
FALDH2,Cofactor and Prosthetic Group Biosynthesis
FALGTHLs,Cofactor and Prosthetic Group Biosynthesis
FCLT,Cofactor and Prosthetic Group Biosynthesis
FE3Ri,Cofactor and Prosthetic Group Biosynthesis
FESD1s,Cofactor and Prosthetic Group Biosynthesis
FESD2s,Cofactor and Prosthetic Group Biosynthesis
FESR,Cofactor and Prosthetic Group Biosynthesis
FLVR,Cofactor and Prosthetic Group Biosynthesis
FLVRx,Cofactor and Prosthetic Group Biosynthesis
FMNAT,Cofactor and Prosthetic Group Biosynthesis
FMNRx,Cofactor and Prosthetic Group Biosynthesis
FMNRx2,Cofactor and Prosthetic Group Biosynthesis
G1SAT,Cofactor and Prosthetic Group Biosynthesis
GDPDPK,Cofactor and Prosthetic Group Biosynthesis
GDPTPDP,Cofactor and Prosthetic Group Biosynthesis
GLUCYS,Cofactor and Prosthetic Group Biosynthesis
GLUTRR,Cofactor and Prosthetic Group Biosynthesis
GLUTRS,Cofactor and Prosthetic Group Biosynthesis
GRTT,Cofactor and Prosthetic Group Biosynthesis
GTHOr,Cofactor and Prosthetic Group Biosynthesis
GTHRDHpp,Cofactor and Prosthetic Group Biosynthesis
GTHS,Cofactor and Prosthetic Group Biosynthesis
GTPCI,Cofactor and Prosthetic Group Biosynthesis
GTPCII2,Cofactor and Prosthetic Group Biosynthesis
GTPDPDP,Cofactor and Prosthetic Group Biosynthesis
GTPDPK,Cofactor and Prosthetic Group Biosynthesis
HBZOPT,Cofactor and Prosthetic Group Biosynthesis
HEMEOS,Cofactor and Prosthetic Group Biosynthesis
HETZK,Cofactor and Prosthetic Group Biosynthesis
HMBS,Cofactor and Prosthetic Group Biosynthesis
HMPK1,Cofactor and Prosthetic Group Biosynthesis
HPPK2,Cofactor and Prosthetic Group Biosynthesis
HYPOE,Cofactor and Prosthetic Group Biosynthesis
I2FE2SR,Cofactor and Prosthetic Group Biosynthesis
I2FE2SS,Cofactor and Prosthetic Group Biosynthesis
I2FE2SS2,Cofactor and Prosthetic Group Biosynthesis
I2FE2ST,Cofactor and Prosthetic Group Biosynthesis
I4FE4SR,Cofactor and Prosthetic Group Biosynthesis
I4FE4ST,Cofactor and Prosthetic Group Biosynthesis
ICHORS,Cofactor and Prosthetic Group Biosynthesis
ICHORSi,Cofactor and Prosthetic Group Biosynthesis
ICHORT,Cofactor and Prosthetic Group Biosynthesis
ICYSDS,Cofactor and Prosthetic Group Biosynthesis
IPDDI,Cofactor and Prosthetic Group Biosynthesis
IPDPS,Cofactor and Prosthetic Group Biosynthesis
LIPAMPL,Cofactor and Prosthetic Group Biosynthesis
LIPATPT,Cofactor and Prosthetic Group Biosynthesis
LIPOCT,Cofactor and Prosthetic Group Biosynthesis
LIPOS,Cofactor and Prosthetic Group Biosynthesis
MALCOAMT,Cofactor and Prosthetic Group Biosynthesis
MECDPDH5,Cofactor and Prosthetic Group Biosynthesis
MECDPS,Cofactor and Prosthetic Group Biosynthesis
MEPCT,Cofactor and Prosthetic Group Biosynthesis
MOADSUx,Cofactor and Prosthetic Group Biosynthesis
MOCDS,Cofactor and Prosthetic Group Biosynthesis
MOCOS,Cofactor and Prosthetic Group Biosynthesis
MOGDS,Cofactor and Prosthetic Group Biosynthesis
MOHMT,Cofactor and Prosthetic Group Biosynthesis
MPTAT,Cofactor and Prosthetic Group Biosynthesis
MPTS,Cofactor and Prosthetic Group Biosynthesis
MPTSS,Cofactor and Prosthetic Group Biosynthesis
NADDP,Cofactor and Prosthetic Group Biosynthesis
NADK,Cofactor and Prosthetic Group Biosynthesis
NADN,Cofactor and Prosthetic Group Biosynthesis
NADPPPS,Cofactor and Prosthetic Group Biosynthesis
NADS1,Cofactor and Prosthetic Group Biosynthesis
NAMNPP,Cofactor and Prosthetic Group Biosynthesis
NMNAT,Cofactor and Prosthetic Group Biosynthesis
NMNDA,Cofactor and Prosthetic Group Biosynthesis
NMNN,Cofactor and Prosthetic Group Biosynthesis
NNAM,Cofactor and Prosthetic Group Biosynthesis
NNDMBRT,Cofactor and Prosthetic Group Biosynthesis
NNDPR,Cofactor and Prosthetic Group Biosynthesis
OCTDPS,Cofactor and Prosthetic Group Biosynthesis
OCTNLL,Cofactor and Prosthetic Group Biosynthesis
OGMEACPD,Cofactor and Prosthetic Group Biosynthesis
OGMEACPR,Cofactor and Prosthetic Group Biosynthesis
OGMEACPS,Cofactor and Prosthetic Group Biosynthesis
OHPBAT,Cofactor and Prosthetic Group Biosynthesis
OHPHM,Cofactor and Prosthetic Group Biosynthesis
OMBZLM,Cofactor and Prosthetic Group Biosynthesis
OMMBLHX,Cofactor and Prosthetic Group Biosynthesis
OMMBLHX3,Cofactor and Prosthetic Group Biosynthesis
OMPHHX,Cofactor and Prosthetic Group Biosynthesis
OMPHHX3,Cofactor and Prosthetic Group Biosynthesis
OPHBDC,Cofactor and Prosthetic Group Biosynthesis
OPHHX,Cofactor and Prosthetic Group Biosynthesis
OPHHX3,Cofactor and Prosthetic Group Biosynthesis
OPMEACPD,Cofactor and Prosthetic Group Biosynthesis
OPMEACPR,Cofactor and Prosthetic Group Biosynthesis
OPMEACPS,Cofactor and Prosthetic Group Biosynthesis
PANTS,Cofactor and Prosthetic Group Biosynthesis
PDX5PO2,Cofactor and Prosthetic Group Biosynthesis
PDX5POi,Cofactor and Prosthetic Group Biosynthesis
PDX5PS,Cofactor and Prosthetic Group Biosynthesis
PDXPP,Cofactor and Prosthetic Group Biosynthesis
PERD,Cofactor and Prosthetic Group Biosynthesis
PMDPHT,Cofactor and Prosthetic Group Biosynthesis
PMEACPE,Cofactor and Prosthetic Group Biosynthesis
PMPK,Cofactor and Prosthetic Group Biosynthesis
PNTK,Cofactor and Prosthetic Group Biosynthesis
PPBNGS,Cofactor and Prosthetic Group Biosynthesis
PPCDC,Cofactor and Prosthetic Group Biosynthesis
PPGPPDP,Cofactor and Prosthetic Group Biosynthesis
PPNCL2,Cofactor and Prosthetic Group Biosynthesis
PPPGO,Cofactor and Prosthetic Group Biosynthesis
PPPGO3,Cofactor and Prosthetic Group Biosynthesis
PTPATi,Cofactor and Prosthetic Group Biosynthesis
PYAM5PO,Cofactor and Prosthetic Group Biosynthesis
PYDAMK,Cofactor and Prosthetic Group Biosynthesis
PYDXK,Cofactor and Prosthetic Group Biosynthesis
PYDXNK,Cofactor and Prosthetic Group Biosynthesis
PYDXPP,Cofactor and Prosthetic Group Biosynthesis
QULNS,Cofactor and Prosthetic Group Biosynthesis
RBFK,Cofactor and Prosthetic Group Biosynthesis
RBFSa,Cofactor and Prosthetic Group Biosynthesis
RBFSb,Cofactor and Prosthetic Group Biosynthesis
RZ5PP,Cofactor and Prosthetic Group Biosynthesis
S2FE2SR,Cofactor and Prosthetic Group Biosynthesis
S2FE2SS,Cofactor and Prosthetic Group Biosynthesis
S2FE2SS2,Cofactor and Prosthetic Group Biosynthesis
S2FE2ST,Cofactor and Prosthetic Group Biosynthesis
S4FE4SR,Cofactor and Prosthetic Group Biosynthesis
S4FE4ST,Cofactor and Prosthetic Group Biosynthesis
SCYSDS,Cofactor and Prosthetic Group Biosynthesis
SEPHCHCS,Cofactor and Prosthetic Group Biosynthesis
SERASr,Cofactor and Prosthetic Group Biosynthesis
